"CURRENT_LOCATION","ID","td","ta","lag_td","tdq","S"
"Accueil_General_1",8,2015-11-12 08:22:30.199,2015-11-12 08:14:42.796,NA,2015-11-12 09:14:42.796,-467.40299987793
"Accueil_General_1",10,2015-11-12 08:33:50.176,2015-11-12 08:17:17.735,2015-11-12 08:22:30.199,2015-11-12 09:17:17.735,-992.44100022316
"Accueil_General_1",18,2015-11-12 08:46:20.085,2015-11-12 08:27:26.188,2015-11-12 08:33:50.176,2015-11-12 09:27:26.188,-1133.89700007439
"Accueil_General_1",21,2015-11-12 08:53:24.235,2015-11-12 08:39:34.316,2015-11-12 08:46:20.085,2015-11-12 09:39:34.316,-829.918999910355
"Accueil_General_1",22,2015-11-12 08:57:27.775,2015-11-12 08:42:15.119,2015-11-12 08:53:24.235,2015-11-12 09:42:15.119,-912.656000137329
"Accueil_General_1",23,-Inf,2015-11-12 08:44:11.141,2015-11-12 08:57:27.775,2015-11-12 09:44:11.141,Inf
"Accueil_General_1",29,2015-11-12 09:12:07.35,2015-11-12 09:06:24.561,-Inf,2015-11-12 10:06:24.561,-342.788999795914
"Accueil_General_1",39,2015-11-12 09:27:32.214,2015-11-12 09:20:25.804,2015-11-12 09:12:07.35,2015-11-12 10:20:25.804,-426.410000085831
"Accueil_General_1",43,2015-11-12 09:33:26.784,2015-11-12 09:24:15.895,2015-11-12 09:27:32.214,2015-11-12 10:24:15.895,-550.888999938965
"Accueil_General_1",48,-Inf,2015-11-12 09:32:26.94,2015-11-12 09:33:26.784,2015-11-12 10:32:26.94,Inf
"Accueil_General_1",53,2015-11-12 09:47:37.702,2015-11-12 09:40:10.282,-Inf,2015-11-12 10:40:10.282,-447.419999837875
"Accueil_General_1",58,-Inf,2015-11-12 09:45:12.158,2015-11-12 09:47:37.702,2015-11-12 10:45:12.158,Inf
"Accueil_General_1",59,2015-11-12 09:53:26.744,2015-11-12 09:47:08.675,-Inf,2015-11-12 10:47:08.675,-378.069000005722
"Accueil_General_1",65,2015-11-12 10:06:07.444,2015-11-12 10:01:40.737,2015-11-12 09:53:26.744,2015-11-12 11:01:40.737,-266.707000017166
"Accueil_General_1",66,2015-11-12 10:11:31.089,2015-11-12 10:05:47.283,2015-11-12 10:06:07.444,2015-11-12 11:05:47.283,-343.805999994278
"Accueil_General_1",72,-Inf,2015-11-12 10:12:08.692,2015-11-12 10:11:31.089,2015-11-12 11:12:08.692,Inf
"Accueil_General_1",74,2015-11-12 10:20:27.681,2015-11-12 10:15:24.158,-Inf,2015-11-12 11:15:24.158,-303.523000001907
"Accueil_General_1",80,2015-11-12 10:25:31.444,2015-11-12 10:20:02.424,2015-11-12 10:20:27.681,2015-11-12 11:20:02.424,-329.019999980927
"Accueil_General_1",82,-Inf,2015-11-12 10:20:24.29,2015-11-12 10:25:31.444,2015-11-12 11:20:24.29,Inf
"Accueil_General_1",89,-Inf,2015-11-12 10:31:08.165,-Inf,2015-11-12 11:31:08.165,Inf
"Accueil_General_1",94,2015-11-12 10:43:05.174,2015-11-12 10:38:59.044,-Inf,2015-11-12 11:38:59.044,-246.130000114441
"Accueil_General_1",100,-Inf,2015-11-12 10:46:19.279,2015-11-12 10:43:05.174,2015-11-12 11:46:19.279,Inf
"Accueil_General_1",99,2015-11-12 10:55:21.629,2015-11-12 10:48:04.51,-Inf,2015-11-12 11:48:04.51,-437.118999958038
"Accueil_General_1",104,2015-11-12 10:58:07.484,2015-11-12 10:48:43.414,2015-11-12 10:55:21.629,2015-11-12 11:48:43.414,-564.069999933243
"Accueil_General_1",106,2015-11-12 10:59:23.397,2015-11-12 10:51:59.704,2015-11-12 10:58:07.484,2015-11-12 11:51:59.704,-443.693000078201
"Accueil_General_1",112,-Inf,2015-11-12 10:55:10.903,2015-11-12 10:59:23.397,2015-11-12 11:55:10.903,Inf
"Accueil_General_1",116,2015-11-12 11:15:16.01,2015-11-12 11:05:49.704,-Inf,2015-11-12 12:05:49.704,-566.305999994278
"Accueil_General_1",122,-Inf,2015-11-12 11:10:16.216,2015-11-12 11:15:16.01,2015-11-12 12:10:16.216,Inf
"Accueil_General_1",123,2015-11-12 11:18:22.567,2015-11-12 11:10:50.164,-Inf,2015-11-12 12:10:50.164,-452.40299987793
"Accueil_General_1",127,2015-11-12 11:30:00.849,2015-11-12 11:24:58.745,2015-11-12 11:18:22.567,2015-11-12 12:24:58.745,-302.104000091553
"Accueil_General_1",134,2015-11-12 11:42:04.717,2015-11-12 11:36:28.294,2015-11-12 11:30:00.849,2015-11-12 12:36:28.294,-336.423000097275
"Accueil_General_1",136,-Inf,2015-11-12 11:39:13.736,2015-11-12 11:42:04.717,2015-11-12 12:39:13.736,Inf
"Accueil_General_1",138,2015-11-12 11:49:39.305,2015-11-12 11:45:06.827,-Inf,2015-11-12 12:45:06.827,-272.478000164032
"Accueil_General_1",144,2015-11-12 12:02:27.552,2015-11-12 11:56:37.556,2015-11-12 11:49:39.305,2015-11-12 12:56:37.556,-349.996000051498
"Accueil_General_1",151,-Inf,2015-11-12 12:34:09.847,2015-11-12 12:02:27.552,2015-11-12 13:34:09.847,Inf
"Accueil_General_1",153,2015-11-12 12:44:18.508,2015-11-12 12:38:30.879,-Inf,2015-11-12 13:38:30.879,-347.628999948502
"Accueil_General_1",166,2015-11-12 13:44:20.274,2015-11-12 13:40:35.6,2015-11-12 12:44:18.508,2015-11-12 14:40:35.6,-224.674000024796
"Accueil_General_1",170,2015-11-12 13:54:18.025,2015-11-12 13:49:24.401,2015-11-12 13:44:20.274,2015-11-12 14:49:24.401,-293.624000072479
"Accueil_General_1",176,-Inf,2015-11-12 13:53:11.615,2015-11-12 13:54:18.025,2015-11-12 14:53:11.615,Inf
"Accueil_General_1",181,2015-11-12 14:06:26.254,2015-11-12 13:59:59.94,-Inf,2015-11-12 14:59:59.94,-386.313999891281
"Accueil_General_1",185,-Inf,2015-11-12 14:04:49.14,2015-11-12 14:06:26.254,2015-11-12 15:04:49.14,Inf
"Accueil_General_1",186,2015-11-12 14:11:41.995,2015-11-12 14:06:10.935,-Inf,2015-11-12 15:06:10.935,-331.05999994278
"Accueil_General_1",191,2015-11-12 14:20:56.713,2015-11-12 14:12:58.399,2015-11-12 14:11:41.995,2015-11-12 15:12:58.399,-478.3140001297
"Accueil_General_1",210,2015-11-12 14:37:31.705,2015-11-12 14:30:49.441,2015-11-12 14:20:56.713,2015-11-12 15:30:49.441,-402.263999938965
"Accueil_General_1",215,2015-11-12 14:46:07.643,2015-11-12 14:35:02.689,2015-11-12 14:37:31.705,2015-11-12 15:35:02.689,-664.953999996185
"Accueil_General_1",226,-Inf,2015-11-12 14:48:54.716,2015-11-12 14:46:07.643,2015-11-12 15:48:54.716,Inf
"Accueil_General_1",227,2015-11-12 15:00:43.229,2015-11-12 14:49:04.243,-Inf,2015-11-12 15:49:04.243,-698.986000061035
"Accueil_General_1",232,-Inf,2015-11-12 14:54:18.978,2015-11-12 15:00:43.229,2015-11-12 15:54:18.978,Inf
"Accueil_General_1",237,2015-11-12 15:10:54.67,2015-11-12 15:04:28.033,-Inf,2015-11-12 16:04:28.033,-386.637000083923
"Accueil_General_1",239,-Inf,2015-11-12 15:05:52.221,2015-11-12 15:10:54.67,2015-11-12 16:05:52.221,Inf
"Accueil_General_1",242,2015-11-12 15:15:09.719,2015-11-12 15:08:12.986,-Inf,2015-11-12 16:08:12.986,-416.733000040054
"Accueil_General_1",253,2015-11-12 15:27:48.691,2015-11-12 15:23:24.615,2015-11-12 15:15:09.719,2015-11-12 16:23:24.615,-264.075999975204
"Accueil_General_1",255,2015-11-12 15:35:34.043,2015-11-12 15:29:37.298,2015-11-12 15:27:48.691,2015-11-12 16:29:37.298,-356.744999885559
"Accueil_General_1",259,2015-11-12 15:45:04.285,2015-11-12 15:40:12.16,2015-11-12 15:35:34.043,2015-11-12 16:40:12.16,-292.125
"Accueil_General_1",262,-Inf,2015-11-12 15:42:21.14,2015-11-12 15:45:04.285,2015-11-12 16:42:21.14,Inf
"Accueil_General_1",263,2015-11-12 15:50:35.647,2015-11-12 15:44:56.624,-Inf,2015-11-12 16:44:56.624,-339.023000001907
"Accueil_General_1",272,2015-11-12 16:00:42.625,2015-11-12 15:54:38.156,2015-11-12 15:50:35.647,2015-11-12 16:54:38.156,-364.469000101089
"Accueil_General_1",275,2015-11-12 16:08:06.85,2015-11-12 16:03:39.912,2015-11-12 16:00:42.625,2015-11-12 17:03:39.912,-266.93799996376
"Accueil_General_1",277,2015-11-12 16:13:08.314,2015-11-12 16:08:15.129,2015-11-12 16:08:06.85,2015-11-12 17:08:15.129,-293.18499994278
"Accueil_General_1",279,2015-11-12 16:19:17.319,2015-11-12 16:15:02.737,2015-11-12 16:13:08.314,2015-11-12 17:15:02.737,-254.582000017166
"Accueil_General_1",280,-Inf,2015-11-12 16:17:20.683,2015-11-12 16:19:17.319,2015-11-12 17:17:20.683,Inf
"Accueil_General_1",285,2015-11-12 16:39:10.093,2015-11-12 16:34:50.364,-Inf,2015-11-12 17:34:50.364,-259.728999853134
"Accueil_General_1",287,2015-11-12 16:42:30.633,2015-11-12 16:39:24.338,2015-11-12 16:39:10.093,2015-11-12 17:39:24.338,-186.294999837875
"Accueil_General_1",286,-Inf,2015-11-12 16:39:39.585,2015-11-12 16:42:30.633,2015-11-12 17:39:39.585,Inf
"Accueil_General_1",293,2015-11-12 17:11:33.748,2015-11-12 17:05:55.216,-Inf,2015-11-12 18:05:55.216,-338.531999826431
"Accueil_General_1",296,2015-11-12 17:23:27.057,2015-11-12 17:18:21.04,2015-11-12 17:11:33.748,2015-11-12 18:18:21.04,-306.016999959946
"Accueil_General_1",297,2015-11-12 17:39:35.598,2015-11-12 17:35:38.057,2015-11-12 17:23:27.057,2015-11-12 18:35:38.057,-237.541000127792
"Accueil_General_1",298,2015-11-12 17:56:10.385,2015-11-12 17:51:07.294,2015-11-12 17:39:35.598,2015-11-12 18:51:07.294,-303.091000080109
